scenario,env_id,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
3,multiple_goals_11_66,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,6
3,multiple_goals_11_67,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_7_68,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,4
3,multiple_goals_9_69,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_9_70,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_11_71,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,8
3,multiple_goals_7_72,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_9_73,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_8_74,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_11_75,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_7_76,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_10_77,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,True,6,6
3,multiple_goals_9_80,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_9_81,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_8_82,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,6
3,multiple_goals_7_83,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,True,8,8
3,multiple_goals_9_84,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_10_85,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_8_86,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,26
3,multiple_goals_10_87,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_11_89,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,7
3,multiple_goals_11_90,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,15
3,multiple_goals_8_91,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,9
3,multiple_goals_9_92,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,7
3,multiple_goals_9_94,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,5
3,multiple_goals_10_95,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,8
3,multiple_goals_8_96,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_7_99,mid-direct-explore,Go straight to the green goal, not another color goal. If you don’t see it anywhere, explore the room more until you find it.,False,inf,2
3,multiple_goals_8_0,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,5
3,multiple_goals_7_1,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,True,2,2
3,multiple_goals_8_4,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,5
3,multiple_goals_9_5,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,12
3,multiple_goals_10_6,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,4
3,multiple_goals_11_7,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,True,1,1
3,multiple_goals_7_8,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,8
3,multiple_goals_9_9,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,10
3,multiple_goals_8_11,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,9
3,multiple_goals_11_14,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,10
3,multiple_goals_11_15,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,5
3,multiple_goals_11_17,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,10
3,multiple_goals_10_19,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,8
3,multiple_goals_8_20,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,True,2,2
3,multiple_goals_10_21,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,12
3,multiple_goals_11_24,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,7
3,multiple_goals_7_25,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,11
3,multiple_goals_7_29,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,7
3,multiple_goals_8_30,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,4
3,multiple_goals_11_31,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,12
3,multiple_goals_10_32,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,4
3,multiple_goals_10_34,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,10
3,multiple_goals_9_38,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,6
3,multiple_goals_11_40,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,9
3,multiple_goals_11_41,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,5
3,multiple_goals_10_43,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,10
3,multiple_goals_9_44,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,7
3,multiple_goals_11_48,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,10
3,multiple_goals_7_49,mid-direct-explore,Go straight to the green goal. If you don’t see it anywhere, explore the room more until you find it. Do not go to a goal of another color.,False,inf,4
